지역,날짜,오존(O3),미세먼지(PM10),초미세먼지(PM2.5)
수원,2018-03-21,0.02884523809523807,13.601190476190474,5.873239436619718
수원,2018-03-22,0.022854545454545436,41.307189542483655,24.11450381679389
수원,2018-03-23,0.028130952380952333,66.61688311688312,49.53191489361702
수원,2018-03-24,0.03517857142857141,108.48993288590604,82.60416666666667
수원,2018-03-25,0.041904761904761896,131.975,102.25
수원,2018-03-26,0.028896341463414618,93.8170731707317,50.985294117647065
수원,2018-03-27,0.02942261904761903,98.78571428571428,61.35664335664335
수원,2018-03-28,0.03405454545454545,57.33121019108279,37.97122302158273
수원,2018-03-29,0.02458181818181817,66.3809523809524,44.26086956521739
수원,2018-03-30,0.028220238095238083,63.36309523809525,34.943661971830984
수원,2018-03-31,0.0321190476190476,58.827380952380956,30.758865248226947
수원,2018-04-01,0.027845238095238086,77.94642857142857,36.34265734265734
수원,2018-04-02,0.02452439024390239,78.70731707317074,29.583941605839414
수원,2018-04-03,0.02177914110429446,68.13253012048193,19.85606060606061
수원,2018-04-04,0.023054216867469852,20.210843373493976,8.613138686131387
수원,2018-04-05,0.021494047619047583,7.2634730538922145,5.230769230769232
수원,2018-04-06,0.027220238095238068,109.4251497005988,24.76388888888889
수원,2018-04-07,0.03751785714285712,52.74096385542168,21.166666666666668
수원,2018-04-08,0.033101190476190465,34.732142857142854,14.685314685314687
수원,2018-04-09,0.015682926829268258,44.53125,26.746153846153845
수원,2018-04-10,0.03019018404907975,44.65806451612904,19.15079365079365
수원,2018-04-11,0.037374999999999985,63.89820359281437,21.67361111111111
수원,2018-04-12,0.0230535714285714,54.694610778443106,18.057142857142857
수원,2018-04-13,0.024999999999999974,39.884615384615394,15.267123287671232
수원,2018-04-14,0.02985714285714284,24.09154929577465,11.838323353293411
수원,2018-04-15,0.03302976190476189,72.91666666666667,21.053571428571427
수원,2018-04-16,0.020546012269938626,44.89928057553957,25.84049079754601
수원,2018-04-17,0.023791666666666628,67.28472222222223,33.6845238095238
수원,2018-04-18,0.027640718562874242,63.24475524475525,36.04790419161677
수원,2018-04-19,0.034619047619047584,74.99305555555556,37.75595238095238
수원,2018-04-20,0.03961818181818184,101.63194444444444,47.40119760479042
수원,2018-04-21,0.02704166666666664,77.36805555555556,39.63095238095238
수원,2018-04-22,0.02607185628742512,41.99300699300699,19.976047904191613
수원,2018-04-23,0.03960975609756096,13.028169014084508,8.335329341317365
수원,2018-04-24,0.03483536585365852,9.145833333333334,4.705521472392638
수원,2018-04-25,0.02142168674698794,37.701388888888886,24.198757763975163
수원,2018-04-26,0.032708333333333325,49.930555555555564,33.47560975609756
수원,2018-04-27,0.034696428571428566,58.81818181818182,41.50898203592814
수원,2018-04-28,0.029025806451612887,64.61870503597122,39.25748502994012
수원,2018-04-29,0.04244444444444442,55.881944444444436,31.7710843373494
수원,2018-04-30,0.044311377245508966,82.4776119402985,52.132075471698116
수원,2018-05-01,0.04217261904761903,66.77622377622377,42.636942675159226
수원,2018-05-02,0.026234567901234556,49.9124087591241,25.94701986754967
수원,2018-05-03,0.03747272727272727,41.09219858156028,15.50909090909091
수원,2018-05-04,0.043815476190476176,48.1875,16.421686746987948
수원,2018-05-05,0.04868452380952378,43.89510489510489,19.467065868263468
수원,2018-05-06,0.04114285714285714,17.23611111111111,10.428571428571429
수원,2018-05-07,0.0272440476190476,36.145833333333336,17.75
수원,2018-05-08,0.03803067484662577,26.177631578947373,11.617283950617285
